Headquarters:," 55 Almaden Blvd 6th Floor, San Jose, California, 95113, United States"
Website:, www.zoom.us
Revenue:, $3 Billion
Alternate Company Names:, ZOOM," Zoom Video Communications , Inc."," Zoom Video Communications, Inc.", Zoom Video Communications Inc, Zoom Video Communications
Competitors:, Skype, BlueJeans, Webex, Slack Technologies, Facebook, Zoho, RingCentral, Google
Top Employees:, , Kelly Steckelberg, Janine Pelosi, 
Techstack:, Zoom, Zoom Rooms
